thread_number, text,
Yogesh,Go until jurong point,
Yogesh,Ok lar... Joking wif u oni...,
Yogesh,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,
Yogesh,U dun say so early hor... U c already then say...,
Yogesh,Nah I don't think he goes to usf,
Yogesh,FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send,
Yogesh,Even my brother is not like to speak with me. They treat me like aids patent.,
Yogesh,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,
Yogesh,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,
Yogesh,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,
Yogesh,I'm gonna be home soon and i don't want to talk about this stuff anymore tonight,
Yogesh,SIX chances to win CASH! From 100 to 20,
Yogesh,URGENT! You have won a 1 week FREE membership in our £100,
Yogesh,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,
Yogesh,I HAVE A DATE ON SUNDAY WITH WILL!!,
Yogesh,XXXMobileMovieClub: To use your credit,
Yogesh,Oh k...i'm watching here:),
Yogesh,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,
Yogesh,Fine if thats the way u feel. Thats the way its gota b,
Yogesh,England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES,
Yogesh,Is that seriously how you spell his name?,
Yogesh,I‘m going to try for 2 months ha ha only joking,
Yogesh,So ü pay first lar... Then when is da stock comin...,
Yogesh,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,
Yogesh,Ffffffffff. Alright no way I can meet up with you sooner?,
Yogesh,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,
Yogesh,Lol your always so convincing.,
Yogesh,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,
Yogesh,I'm back &amp; we're packing the car now,
Yogesh,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,
Yogesh,Wait that's still not all that clear,
Yogesh,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,
Yogesh,K tell me anything about you.,
Yogesh,For fear of fainting with the of all that housework you just did? Quick have a cuppa,
Yogesh,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,
Yogesh,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,
Yogesh,Oops,
Yogesh,I see the letter B on my car,
Yogesh,Anything lor... U decide...,
Yogesh,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,
Yogesh,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,
Yogesh,Did I forget to tell you ? I want you ,
Yogesh,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,
Yogesh,WHO ARE YOU SEEING?,
Yogesh,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,
Yogesh,No calls..messages..missed calls,
Yogesh,Didn't you get hep b immunisation in nigeria.,
Yogesh,Fair enough,
Yogesh,Yeah hopefully,
Yogesh,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,
Yogesh,What you thinked about me. First time you saw me in class.,
Yogesh,A gram usually runs like  &lt;#&gt; ,
Yogesh,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,
Yogesh,Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it,
Yogesh,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,
Yogesh,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,
Yogesh,Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V,
Yogesh,Sorry,
Yogesh,Tell where you reached,
Yogesh,Yes..gauti and sehwag out of odi series.,
Yogesh,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,
Yogesh,Ha ha ha good joke. Girls are situation seekers.,
Yogesh,Its a part of checking IQ,
Yogesh,Sorry my roommates took forever,
Yogesh,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,
Yogesh,As a valued customer,
Yogesh,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",
Yogesh,Urgent UR awarded a complimentary trip to EuroDisinc Trav,
Yogesh,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",
Yogesh,I plane to give on this month end.,
Yogesh,Wah lucky man... Then can save money... Hee...,
Yogesh,Finished class where are you.,
